Year,Month,covidDeaths
2020,1,6
2020,2,25
2020,3,"7,174"
2020,4,"65,550"
2020,5,"38,329"
2020,6,"18,026"
2020,7,"31,135"
2020,8,"29,911"
2020,9,"19,158"
2020,10,"24,930"
2020,11,"53,248"
2020,12,"98,174"
2021,1,"105,565"
2021,2,"48,570"
2021,3,"23,265"
2021,4,"18,805"
2021,5,"14,989"
2021,6,"8,024"
2021,7,"11,222"
2021,8,"48,821"
2021,9,"63,444"
2021,10,"42,606"
2021,11,"32,329"
2021,12,"45,623"
2022,1,"84,011"
2022,2,"50,298"
2022,3,"15,627"
2022,4,"6,265"
2022,5,"7,633"
2022,6,"9,539"
2022,7,"13,393"
2022,8,"14,138"
2022,9,"11,125"
2022,10,"9,713"
2022,11,"10,036"
2022,12,"14,383"
2023,1,"14,877"
2023,2,"8,985"
2023,3,"7,593"
2023,4,"5,150"
2023,5,"3,518"
2023,6,"2,547"
2023,7,"2,295"
2023,8,"3,844"
2023,9,"2,875"
